Date,XLK_Open,XLK_High,XLK_Low,XLK_Close,XLK_Volume,XLF_Open,XLF_High,XLF_Low,XLF_Close,XLF_Volume,XLE_Open,XLE_High,XLE_Low,XLE_Close,XLE_Volume,XLV_Open,XLV_High,XLV_Low,XLV_Close,XLV_Volume,XLI_Open,XLI_High,XLI_Low,XLI_Close,XLI_Volume,XLY_Open,XLY_High,XLY_Low,XLY_Close,XLY_Volume,XLP_Open,XLP_High,XLP_Low,XLP_Close,XLP_Volume,XLU_Open,XLU_High,XLU_Low,XLU_Close,XLU_Volume,XLB_Open,XLB_High,XLB_Low,XLB_Close,XLB_Volume
2012-01-30,22.201755185534743,22.49311711886828,22.18510556927687,22.45981788635254,7691200,8.809802542517048,8.847639550378462,8.753046290390577,8.828721046447754,71714490,43.50344891035056,43.82975479235908,43.17713833113064,43.79896926879883,13625800,28.325522906865963,28.476700399480897,28.206175609501845,28.460786819458008,5297700,27.958345642285703,28.13632534085498,27.85774739460285,28.11311149597168,9735600,34.89326529523549,35.156515724049356,34.67247701643567,35.09707260131836,4951600,22.245031422013973,22.27276635698811,22.113279238781555,22.196489334106445,9643100,21.80342211869212,21.80342211869212,21.614375578536663,21.746707916259766,9475100,27.62165493629575,28.119478217971277,27.56131420260204,28.013879776000977,9225700
2012-01-31,22.60966511883419,22.61798992838501,22.36825199304069,22.501445770263672,8089300,8.885480186388003,8.898092526440864,8.803499235709813,8.866560935974121,82584343,44.112956943880114,44.15605385187879,43.30642238388971,43.52191162109375,14680900,28.56421562884264,28.747217195409085,28.413038178267257,28.484647750854492,7538700,28.236925724025365,28.337521027402854,27.888703264875016,28.027992248535156,18226900,35.317859264585366,35.34333396190273,34.952706819136715,35.08857727050781,3414200,22.300495816765185,22.307428886683834,22.07860054656456,22.210350036621094,5873600,21.797123758892823,21.860138477207443,21.715202701997885,21.853837966918945,7359900,28.240165029685542,28.30805015935982,27.772513512674962,28.04405403137207,11363800
2012-02-01,22.717886418614032,22.82610576891572,22.634639909569223,22.72620964050293,8972400,8.942232382717183,9.068357216892192,8.942232382717183,9.005294799804688,87912357,43.915944200352214,44.06986240823467,43.60194974105295,43.69430160522461,12776500,28.572166530520317,28.898387192383975,28.572166530520317,28.763126373291016,13009200,28.244663018756096,28.49228722550719,28.244663018756096,28.329784393310547,11770900,35.156524345423286,35.334853757347695,35.08009699182596,35.20747375488281,5627200,22.300499331033365,22.473855203521246,22.300499331033365,22.369840621948242,9539000,21.904246050943172,21.97986658646815,21.860135273815462,21.929452896118164,8196500,28.270332344074546,28.504159504082395,28.25524644239583,28.323131561279297,15190200
2012-02-02,22.809451977924944,22.876048855421864,22.72620548410509,22.78447914123535,6020500,9.036829210588657,9.087279312269278,8.986380589577246,9.049442291259766,65660186,43.762032003599415,44.19300116598361,43.62658321050394,44.026771545410156,15471100,28.794954448781017,28.794954448781017,28.484647317360153,28.651735305786133,5953400,28.3916787605004,28.438109389539107,28.260129739425896,28.345251083374023,9223800,35.190475610174204,35.24991872395471,34.99516205926587,35.165000915527344,3607100,22.404514993079186,22.473856287338094,22.376777417295294,22.453054428100586,5452400,21.95466396742617,22.0302821136501,21.84753605673954,21.89164924621582,8038600,28.39855474059517,28.48906725315377,28.172269143187325,28.187355041503906,7593200
2012-02-03,22.975945471788958,23.117464038062312,22.934321430064536,23.07583999633789,7393200,9.20079112173372,9.295384407043457,9.188178782403694,9.295384407043457,106830735,44.599348440744954,44.84561385435959,44.34692028541478,44.80251693725586,14996500,28.818824768066406,28.858607186697615,28.715388051462075,28.818824768066406,8292500,28.662531495043513,28.879201949465834,28.61610084684721,28.83277130126953,11529700,35.41976719488065,35.88682174682617,35.41976719488065,35.88682174682617,5561800,22.522401809692383,22.640285216034922,22.473862361551788,22.522401809692383,6662400,21.91685830142067,22.042890174202945,21.81603328396646,21.948368072509766,9231500,28.556958471012088,28.639929490847113,28.375930529795532,28.572044372558594,9877900
2012-02-06,23.009247685633294,23.100819007812767,22.950975603444597,23.084169387817383,6700600,9.238628391622418,9.257546899617257,9.194484465966623,9.251240730285645,55279655,44.550078252791046,45.34429662272143,44.48235387803039,45.338138580322266,13384600,28.691518004585973,28.7631275692019,28.572167718491485,28.659690856933594,4095400,28.631577299912603,28.832770868583562,28.61610041741276,28.763126373291016,8686800,35.65754663723839,35.86984447727113,35.649052909568624,35.81039810180664,2585800,22.473849489700104,22.557059546682513,22.446111922305963,22.508520126342773,7380000,21.916852685233565,21.92945610966797,21.797123758892823,21.853837966918945,6077000,28.36085699497613,28.45137244372435,28.285430331695384,28.41365623474121,5685200
2012-02-07,23.075842003792058,23.20071255203344,22.967622661483833,23.142438888549805,7388000,9.213402284059907,9.27646397265396,9.175565270903475,9.244933128356934,56189611,45.22733387707427,45.645991666646694,44.759421124678795,45.57210922241211,17548700,28.627862518994327,28.794950484416358,28.532384115210842,28.763126373291016,3442200,28.701214440564,28.79407275985476,28.4613272511574,28.732168197631836,9038900,35.81039334143887,36.031184879790985,35.700000811670336,35.98023223876953,9408600,22.45305419725433,22.591739429547097,22.44611848077925,22.52933120727539,11209400,21.84123470921751,22.080694967584417,21.740409716829987,22.011377334594727,6928900,28.39856597630671,28.51925033324647,28.13456696732833,28.383480072021484,11790600
2012-02-08,23.192392506777015,23.308936682092984,23.117470797560948,23.28396224975586,11494900,9.257545024619965,9.314300537109375,9.226014184348069,9.314300537109375,66141999,45.68293338729748,45.74450444326955,45.122673416205906,45.41819381713867,11027800,28.77108164227142,28.794950484416358,28.603993676849388,28.763126373291016,4758300,28.794086456298828,28.848254080977007,28.654797435150897,28.794086456298828,10111800,36.06515884399414,36.23499452799107,35.84436727174529,36.06515884399414,4260900,22.591737658856434,22.591737658856434,22.453052437433506,22.53626251220703,4694700,22.061789300096635,22.061789300096635,21.885346159014492,22.036584854125977,6418300,28.43628653559965,28.572056831379207,28.225086699196574,28.41365623474121,6044900
2012-02-09,23.39217246144784,23.5420158110786,23.317250786632457,23.508716583251953,9486400,9.352139011802116,9.371058257768363,9.226014900588819,9.276463508605957,95860801,45.485920915629976,45.5967422468481,45.06110972697082,45.424354553222656,9605400,28.747217612290864,28.763131188119264,28.53238889141379,28.611953735351562,6164500,28.902420316070017,28.925637119754544,28.708963679545015,28.871469497680664,9383900,36.0481759151929,36.15857170526017,35.80190962943058,36.124603271484375,4129400,22.557068624448355,22.68882079999228,22.50852918457462,22.661083221435547,5976200,21.998765265058857,22.03657552379216,21.904240820153845,21.97355842590332,6858400,28.51170990812103,28.549423235408614,28.22508344151901,28.443824768066406,7649700
2012-02-10,23.35055229523431,23.38385152857776,23.250657770793634,23.333904266357422,6369500,9.17556667646245,9.200791355764112,9.137728917175389,9.188179016113281,79561623,44.894859942796444,45.04877814449052,44.673217356580125,44.96874237060547,14837000,28.444872100587844,28.524436962311714,28.341435352182874,28.492612838745117,3648100,28.61609725496548,28.623837171316794,28.422640672967137,28.608360290527344,14726700,35.75944424331775,35.97174205693098,35.71698532847662,35.929283142089844,3183500,22.550138682960366,22.612546920776367,22.522401100552933,22.612546920776367,4576400,21.87904160962524,21.967263163880656,21.847531851227966,21.929452896118164,4558600,28.051591860789017,28.066677762884545,27.78759576747126,27.945993423461914,11266600
